[2026-08-20 12:25:03] [SUCCESS] 2013: 20/08/2026 12:25:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:27:03] [SUCCESS] 2013: 20/08/2026 12:27:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:29:03] [SUCCESS] 2013: 20/08/2026 12:29:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:31:03] [SUCCESS] 2013: 20/08/2026 12:31:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:33:04] [SUCCESS] 2013: 20/08/2026 12:33:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:35:03] [SUCCESS] 2013: 20/08/2026 12:35:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:37:03] [SUCCESS] 2013: 20/08/2026 12:37:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:39:04] [SUCCESS] 2013: 20/08/2026 12:39:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:41:03] [SUCCESS] 2013: 20/08/2026 12:41:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:43:03] [SUCCESS] 2013: 20/08/2026 12:43:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:45:04] [SUCCESS] 2013: 20/08/2026 12:45:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:47:03] [SUCCESS] 2013: 20/08/2026 12:47:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:49:03] [SUCCESS] 2013: 20/08/2026 12:49:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:51:03] [SUCCESS] 2013: 20/08/2026 12:51:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:53:36] [ERROR] 2013: 
[2026-08-20 12:55:03] [SUCCESS] 2013: 20/08/2026 12:55:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:57:03] [SUCCESS] 2013: 20/08/2026 12:57:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 12:59:03] [SUCCESS] 2013: 20/08/2026 12:59:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:01:03] [SUCCESS] 2013: 20/08/2026 1:01:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:03:03] [SUCCESS] 2013: 20/08/2026 1:03:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:05:05] [SUCCESS] 2013: 20/08/2026 1:05:03 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:07:03] [SUCCESS] 2013: 20/08/2026 1:07:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:09:03] [SUCCESS] 2013: 20/08/2026 1:09:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:11:03] [SUCCESS] 2013: 20/08/2026 1:11:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:13:03] [SUCCESS] 2013: 20/08/2026 1:13:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:15:03] [SUCCESS] 2013: 20/08/2026 1:15:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:17:03] [SUCCESS] 2013: 20/08/2026 1:17:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:19:03] [SUCCESS] 2013: 20/08/2026 1:19:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:21:03] [SUCCESS] 2013: 20/08/2026 1:21:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:23:03] [SUCCESS] 2013: 20/08/2026 1:23:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:25:03] [SUCCESS] 2013: 20/08/2026 1:25:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:27:03] [SUCCESS] 2013: 20/08/2026 1:27:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:29:03] [SUCCESS] 2013: 20/08/2026 1:29:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:31:04] [SUCCESS] 2013: 20/08/2026 1:31:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:33:03] [SUCCESS] 2013: 20/08/2026 1:33:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 13:35:03] [SUCCESS] 2013: 20/08/2026 1:35:02 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-20 23:05:27] [SUCCESS] 2013: 20/08/2026 11:05:26 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
